Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,910.0,910.0,880.0,897.599976,820.538147,426.0
2002-07-02,900.0,905.0,895.0,903.650024,826.068481,310.0
2002-07-03,910.0,910.0,900.0,906.700012,828.856934,336.0
2002-07-04,920.0,925.0,910.0,916.799988,838.089905,591.0
2002-07-05,915.0,935.0,910.0,927.299988,847.688354,1623.0
2002-07-08,930.0,933.0,918.0,929.049988,849.287903,1595.0
2002-07-09,934.0,934.0,900.150024,904.400024,826.754333,586.0
2002-07-10,910.0,917.900024,901.0,910.700012,832.513428,826.0
2002-07-11,891.0,920.0,885.0,893.950012,817.201599,1265.0
2002-07-12,908.900024,909.0,890.099976,896.5,819.53241,361.0
2002-07-15,900.0,910.0,871.200012,875.0,799.878418,1265.0
2002-07-16,890.0,890.0,880.0,883.049988,807.237366,552.0
2002-07-17,880.099976,883.0,880.0,881.650024,805.957458,572.0
2002-07-18,867.0,925.0,867.0,912.400024,834.067566,1293.0
2002-07-19,915.0,915.0,903.0,907.450012,829.542725,415.0
2002-07-22,898.0,901.0,880.0,885.5,809.477173,756.0
2002-07-23,870.0,894.900024,870.0,891.400024,814.8703,271.0
2002-07-24,864.0,894.950012,864.0,888.5,812.219421,423.0
2002-07-25,900.0,900.0,891.0,892.0,815.418945,355.0
2002-07-26,852.0,884.900024,852.0,881.700012,806.003357,1101.0
2002-07-29,884.0,905.0,852.0,897.0,819.989746,2486.0
2002-07-30,917.0,928.0,890.0,894.150024,817.384338,1657.0
2002-07-31,876.0,898.900024,870.0,889.75,813.362,1149.0
2002-08-01,898.0,898.0,883.599976,884.950012,808.974243,659.0
2002-08-02,876.0,890.0,872.25,889.400024,813.042053,666.0
2002-08-05,850.0,927.0,850.0,914.650024,836.124451,1726.0
2002-08-06,970.0,970.0,893.0,906.099976,828.30835,691.0
2002-08-07,906.0,960.049988,906.0,949.049988,867.570862,5411.0
2002-08-08,949.799988,949.799988,894.0,900.599976,823.280518,1071.0
2002-08-09,890.0,920.0,890.0,907.200012,832.085815,417.0
2002-08-12,909.0,929.0,909.0,923.900024,847.402893,587.0
2002-08-13,922.150024,929.75,910.0,910.450012,835.066528,450.0
2002-08-14,891.049988,908.5,891.0,897.349976,823.051331,409.0
2002-08-16,849.900024,919.0,849.900024,908.0,832.81958,205.0
2002-08-19,905.0,905.0,894.0,895.799988,821.629639,349.0
2002-08-20,889.0,905.0,889.0,901.049988,826.445007,333.0
2002-08-21,890.0,913.0,890.0,906.25,831.214355,747.0
2002-08-22,910.0,925.0,905.549988,911.150024,835.70874,675.0
2002-08-23,924.0,924.700012,902.0,902.5,827.774902,482.0
2002-08-26,915.0,920.0,902.099976,912.0,836.488403,156.0
2002-08-27,910.0,910.0,900.0,901.650024,826.995361,2288.0
2002-08-28,890.25,900.0,888.099976,890.200012,816.493469,365.0
2002-08-29,888.0,895.0,888.0,891.900024,818.052551,252.0
2002-08-30,899.950012,907.900024,892.200012,901.599976,826.949402,323.0
2002-09-02,907.0,911.0,892.0,897.400024,823.097473,215.0
